Model_Name,Rating,Ram(GB),ROM(GB),Screen_Size(in CM),Rear_Camera(MP),Front_Camera(MP),Battery(MaH),Processer,Price,Link_Of_Product
vivo T2x 5G,4.4,4 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.3,8 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"14,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2x 5G,4.3,8 , 128,16.71 cm,50MP,8MP,5000,Dimensity,"14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,4 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"10,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGUFK49KDBZUMC.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
Motorola G34 5G,4.2,8 , 128,16.51 cm,50MP,16MP,5000,Snapdragon,"11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2 5G,4.3,8 , 128,16.21 cm,64,16MP,4500,Snapdragon,"17,999",https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUHGYHNEMB&lid=LSTMOBGZBFUHGYHNEMBDASSEQ&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFUHGYHNEMB.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
vivo T2 5G,4.4,6 , 128,16.21 cm,64,16MP,4500,Snapdragon,"15,999",https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU3KXMFYHP&lid=LSTMOBGZBFU3KXMFYHPQBLL0Y&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZBFU3KXMFYHP.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
POCO C51,4,4 , 64 ,16.56 cm,8MP,5MP,5000,Helio,"5,499",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=f173e9c5-0e63-4b11-af70-aa3ff0be5c72.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=0tes8wx0e80000001707474715509&qH=28388ea49f54c5b8
